,,,,,,=,,sex,income
14.9631090164185,-35.2707977294922,-37.2622833251953,36.406852722168,3.5177321434021,-10.4468832015991,18.1135635375977,22.4425525665283,0,0
0.21922779083252,4.05181264877319,-2.33084678649902,0.423073291778564,1.16452693939209,2.63262915611267,-0.855942487716675,1.40154874324799,0,0
-2.23794412612915,-3.77228164672852,-4.55852317810059,3.34313225746155,11.5641918182373,3.59946346282959,3.80790591239929,-13.7814254760742,0,1
-14.1769361495972,-8.70924949645996,-2.27813839912415,-19.8759250640869,7.99235439300537,-8.52651786804199,-2.78653907775879,12.2146997451782,0,1
13.3750295639038,-29.8318099975586,-36.0745048522949,32.6615409851074,7.27673721313477,-5.0613317489624,19.014986038208,11.5562505722046,0,0
-11.4594850540161,6.83206748962402,10.0916738510132,-18.5164241790771,0.771389067173004,0.567940890789032,-2.81278300285339,-13.5458421707153,0,1
26.446403503418,-27.9220676422119,-14.1522178649902,23.9212284088135,0.316839337348938,3.95579624176025,10.0127563476563,-10.2449798583984,1,0
2.93815779685974,-17.7588634490967,-22.7702255249023,3.63069558143616,21.9045028686523,2.03074526786804,7.27660369873047,8.30695247650147,0,0
-3.7784628868103,-2.95012283325195,-9.71715068817139,-11.2998170852661,18.7053604125977,10.635196685791,3.45313572883606,-3.47255563735962,0,1
-9.85512161254883,-0.866815268993378,0.068992853164673,-6.35938167572022,-2.53358817100525,-7.02000761032105,1.90970063209534,-4.25086498260498,0,0
6.8641939163208,-10.9673509597778,-19.1264190673828,16.8442249298096,5.83746099472046,-3.13535118103027,8.22544860839844,8.73393154144287,1,0
-5.6242938041687,-3.94590902328491,-5.69076633453369,-9.13886260986328,10.1779279708862,1.72769045829773,-0.206840038299561,4.3534197807312,0,1
-16.9733276367187,3.58199167251587,8.54531764984131,-16.2266902923584,-2.05331754684448,-5.2451696395874,-1.86897325515747,-9.82467365264893,0,1
21.9172420501709,-22.2867813110352,-25.1629333496094,35.1007957458496,-3.83244466781616,-1.53012609481812,16.9359359741211,-1.89466893672943,0,0
0.303403258323669,-17.3085250854492,-7.16107654571533,-6.50981426239014,16.2603626251221,-5.64868831634522,-1.42867732048035,8.63068103790283,1,0
4.35189723968506,-24.1985816955566,-14.4237251281738,8.50673007965088,5.02589321136475,-3.03414177894592,5.53952980041504,5.88495922088623,1,0
-16.971284866333,-7.61703681945801,-5.71834659576416,-17.9595146179199,5.76537370681763,-8.95984840393066,0.020648717880249,12.0156335830688,0,1
17.4287719726563,-21.2794151306152,-20.9367389678955,27.6842651367187,-8.91179943084717,-4.05279397964478,12.4252977371216,8.65317726135254,1,0
3.09229326248169,-39.9930839538574,-27.1337184906006,16.4820804595947,22.4419574737549,-4.8219575881958,15.706844329834,-10.3794851303101,0,0
-0.132692098617554,-8.45115470886231,-0.750290513038635,5.09145355224609,0.799953997135162,-6.01953268051147,3.81988978385925,-15.1262159347534,0,0
-12.235857963562,23.2082061767578,14.2912168502808,-18.9047317504883,-6.89227294921875,11.6950960159302,-3.17224359512329,-16.0586471557617,0,1
13.6510763168335,-22.460277557373,-34.6798706054687,35.4695625305176,5.25375604629517,-6.32661819458008,20.3183135986328,5.85881662368774,0,0
8.93544101715088,-40.1186790466309,-31.7756233215332,12.5376358032227,21.8649024963379,-0.091841578483582,13.0309677124023,11.6143922805786,0,0
0.483379483222961,-1.15815007686615,-5.3635892868042,-3.20604681968689,8.98572063446045,3.53641319274902,-0.474867761135101,2.03689193725586,0,0
6.48398542404175,0.440642833709717,1.34340929985046,21.8351287841797,-20.7380676269531,-7.32032442092896,0.582666635513306,3.93998765945435,0,0
-13.160472869873,1.82199227809906,12.7934370040894,-24.2200222015381,-0.89417165517807,-6.80375385284424,-7.94545841217041,0.500246167182922,0,1
